job_link,job_title,company,search_country,search_city,job_level,job_type,job_skills
https://www.linkedin.com/jobs/view/account-executive-dispensing-norcal-northern-nevada-becton-dickinson-at-bd-3802078767,Account Executive - Dispensing (NorCal/Northern Nevada) - Becton Dickinson,BD,United States,Coronado,Mid senior,Onsite,"Medical equipment sales, Key competitors, Terminology, Technology, Trends, Challenges, Reimbursement, Government regulation, BD offerings, Pipeline management, Opportunity planning, Solution Sales Process, Customer relationships, Collaboration, Negotiation, Internal and external customer satisfaction, Trust building, Sales opportunities, New solution introduction, Pharmacy, IT, Nursing, Csuite, Bachelor's Degree, Travel, Driver's license"
https://www.linkedin.com/jobs/view/registered-nurse-rn-care-manager-at-trinity-health-mi-3803386312,Registered Nurse - RN Care Manager,Trinity Health MI,United States,Grand Haven,Mid senior,Onsite,"Nursing, Bachelor of Science in Nursing, Masters Degree in Nursing, Care management experience, Clinical experience in nursing, Licensure to practice nursing in Michigan, Population management, Selfmanagement, Education, Oversight of registries, Patient education, Patient selfmanagement, Patient care coordination, Chronic condition management, Complex illness management, Hospitalization avoidance, Emergency room visit avoidance"
https://www.linkedin.com/jobs/view/restaurant-supervisor-the-forklift-at-wasatch-adaptive-sports-3771464419,RESTAURANT SUPERVISOR - THE FORKLIFT,Wasatch Adaptive Sports,United States,Tooele,Mid senior,Onsite,"Restaurant Operations Management, Inventory Management, Food and Beverage Ordering, Profit Optimization, Guest Service, Front and Back of House Coordination, Employee Performance Management, Discipline and Rewards Management, Safety and Sanitation Maintenance, Directional Flow Management, Daily Records Maintenance, Profit and Loss Statement Preparation, Guest Complaint Handling, Interpersonal Skills, Guest Service Skills, Listening Skills, Oral Communication Skills, Conflict Management Skills, Dispute Resolution Skills, Reading and Writing Proficiency, Arithmetic Skills, Menu and Wine List Knowledge, Wine Knowledge, Money Handling Proficiency, Staff Direction, Guest Issue Resolution, Microsoft Office Applications, Data Protection and Security, PCI DSS Compliance, Privacy and Confidentiality, Reporting and Storage of Sensitive Information, Snowbird Operations Knowledge, Variable Work Schedule, Overnight Stays, Stress Management, Physical Strength, Tray Carrying Ability, Standing Ability, Bending and Kneeling Ability, Repetitive Motions Ability, Professional Appearance, Drug and Alcohol Policy Compliance, Employee Conduct Policy Compliance"
https://www.linkedin.com/jobs/view/independent-real-estate-agent-at-howard-hanna-rand-realty-3797661348,Independent Real Estate Agent,Howard Hanna | Rand Realty,United States,Pinehurst,Mid senior,Onsite,"Real Estate, Customer Service, Sales, Negotiation, Communication, Home Listings, Local Real Estate Market, Representation Contracts, Purchase Agreements, Closing Statements, Deeds, Leases, Networking, Relationship Building, Flexibility, Work/Life Balance, High Income Potential, Equal Opportunity Employer"
https://www.linkedin.com/jobs/view/group-unit-supervisor-systems-support-manager-tss-at-irs-office-of-chief-counsel-3803057508,Group/Unit Supervisor (Systems Support Manager TSS),"IRS, Office of Chief Counsel",United States,Gadsden,Mid senior,Onsite,
https://www.linkedin.com/jobs/view/counselor-07532802-at-icl-3765316747,Counselor-07532802,ICL,United States,Oyster Bay,Mid senior,Onsite,
https://www.linkedin.com/jobs/view/registered-nurse-rn-at-trinity-health-mi-3790954711,Registered Nurse (RN),Trinity Health MI,United States,Muskegon,Mid senior,Onsite,"Nursing, BSN, Medical License, Virtual RN, Nursing Support, Diversity, Equity, Inclusion, Equal Opportunity Employer"
https://www.linkedin.com/jobs/view/part-time-hr-generalist-at-creative-financial-staffing-cfs-3798316459,Part Time- HR Generalist,Creative Financial Staffing (CFS),United States,White Plains,Mid senior,Onsite,"HR, Performance assessments, Interviews, Recruitment, Employee onboarding, Employee relations, Employee complaints"
https://uk.linkedin.com/jobs/view/store-manager-at-b-m-retail-3800482794,Store Manager,B&M Retail,United Kingdom,Slough,Mid senior,Onsite,"Store Management, KPI Management, Team Leadership, Retail Experience, Sales Growth, Customer Service, Retail Standards, FMCG/Big Box Experience, Flexibility, OntheJob Training, Career Progression, Discount in Stores, Regular Double Discount Events, Paid Time Off, Pension Scheme, Diverse and Inclusive Environment"
https://ca.linkedin.com/jobs/view/engineering-project-coordinator-at-shared-health-soins-communs-3767503688,Engineering Project Coordinator,Shared Health-Soins Communs,Canada,Manitoba,Mid senior,Onsite,"AUTOCAD, MS Project, Building Code Compliance, Construction methods, Sustainability design concepts, Barrierfree access, Environmental risks, Engineering, Project management, Construction management, Medical gases, Plumbing, Steam, HVAC, Building controls, Fire suppression, Power distribution, Nurse call, Access controls, Building envelope systems, Roofing, Glazing, Door systems, Business management, Business ethics, Negotiation, Planning, Organizing, Forecasting, Collaboration, Communication"
https://www.linkedin.com/jobs/view/special-agent-law-legal-background-at-federal-bureau-of-investigation-fbi-3804204630,Special Agent: Law/Legal Background,Federal Bureau of Investigation (FBI),United States,Austin,Associate,Onsite,"FBI Special Agent, Law, Legal, Criminal Investigation, Law Enforcement, Intelligence, Investigations, Policies, National Security, Personnel, Litigation, Support, Administrative, Technology, Contract Law, Information Law, Legal Instruction, Counterterrorism, Counterintelligence, Cyber Matters, Foreign Intelligence, Top Secret Sensitive Compartmented Information (SCI) Clearance, Physical Fitness, Medical Exam, FBI Academy Training, Field Office Assignment, Temporary Duty Assignments, U.S. Citizenship, 2337 Years Old, Two Years Professional Work Experience, Bachelor's Degree or JD Degree, College Transcripts"
https://www.linkedin.com/jobs/view/manager-site-operations-at-icon-plc-3770540505,"Manager, Site Operations",ICON plc,United States,Louisville,Mid senior,Onsite,"Management Skills, Clinical Research, Clinical Research Staff, Bachelor's Degree, Collaborative Approach, Performance Goals, Competitive Salary, Annual Bonuses, HealthRelated Benefits, Retirement Plans, Life Assurance, Equal Opportunity Employer"
https://www.linkedin.com/jobs/view/assistant-vice-president-behavioral-health-sciences-full-time-at-rwjbarnabas-health-3770863136,Assistant Vice President Behavioral Health Sciences Full Time,RWJBarnabas Health,United States,Hillsborough,Mid senior,Onsite,"Leadership, Communication, Collaboration, Behavioral health, Inpatient, Eating disorders, Nursing, Licensure, Master's of Science in Nursing"
https://www.linkedin.com/jobs/view/control-systems-integration-engineer-at-olsson-3793857817,Control Systems Integration Engineer,Olsson,United States,Nebraska,Associate,Onsite,"Control Systems Integration, PLC Programming, HMI Programming, Operator Interface Terminal Programming, Control System Software Installation, Lead Programming, Automation Staff Supervision, Mentorship, System Startup, Client Relationship Development, Selection and Specification of PLCs and HMIs, Instrumentation, Schematic Development, Wiring Diagrams, Windows Operating Systems, Ethernet Networking, SCADA Systems, Strong Communication Skills, Teamwork, Attention to Detail, Engineering Degree, Vocational Degree, Technical or Trade School Certification, 3+ Years of Control System Integration Experience, Passion for Mentoring, Handson Technical and Troubleshooting Skills, Familiarity with Windows Operating Systems, Ethernet Networking, SCADA Systems, Ability to Lead Others"
https://www.linkedin.com/jobs/view/lead-sales-associate-pt-at-dollar-general-3580065885,LEAD SALES ASSOCIATE-PT,Dollar General,United States,Carmel,Mid senior,Onsite,"Cashier, Stocker, Lead capacity, Planograms, Customer service, Unloading trucks, Receiving, Opening cartons, Unpacking cartons and totes, Stocking merchandise, Rotating merchandise, Facing merchandise, Building merchandise displays, Restock merchandise, Order zones, Drop shipment categories, Planogram implementation, Planogram maintenance, Customer assistance, Bailing cardboard, Taking out trash, Dusting and mopping store floors, Cleaning restroom, Cleaning stockroom, Greeting customers, Register countertop maintenance, Register countertop planograms, Cash register operation, Flatbed scanner operation, Itemizing purchases, Totaling purchases, Bagging merchandise, Collecting payment, Making change, Cleaning front end of store, Setting up sidewalk displays, Maintaining a clean and organized store, Facilitating a safe and secure working environment, Facilitating a safe and secure shopping environment, Providing superior customer service leadership, Following company policies, Following company procedures, Standard Operating Procedures manual, Employee Handbook, Company communications, Opening and closing the store, Authorizing refunds, Signing for refunds, Authorizing overrides, Signing for overrides, Counting register, Making bank deposits, Maintaining strict cashier accountability, Maintaining key control, Adhering to company security practices, Adhering to cash control procedures, Monitoring cash levels, Making appropriate drawer pulls, Monitoring cameras, Completing paperwork, Completing documentation, Following guidelines, Meeting deadlines, Mathematical calculations, Addition, Subtraction, Multiplication, Division, Percentages, Cash handling procedures, Cashier accountability, Deposit control, IBM cash register functions, Cash control policies, Facility control policies, Safety control policies, Safety practices, Planogram guidance, Merchandise presentation guidance, High school diploma, Supervisory experience, Related experience, Related training, Equal opportunity employer"
https://www.linkedin.com/jobs/view/entry-level-financial-advisor-at-northwestern-mutual-3804234391,Entry-Level Financial Advisor,Northwestern Mutual,United States,Derby,Mid senior,Onsite,"Financial Planning, Financial Services, Wealth Management, Business Development, Banking, Sales, Marketing, Management, Athletics, Education, Military, Entrepreneurship, Bachelor's Degree, Interpersonal Skills, SelfStarter"
https://www.linkedin.com/jobs/view/senior-associate-tax-product-analyst-at-kpmg-us-3764869128,"Senior Associate, Tax - Product Analyst",KPMG US,United States,Calumet City,Associate,Onsite,"Microsoft Office Suite, UML, Flow Charting Software, Change Control/Defect Tracking Software, Project Management Methodologies, Design Tools, Bachelor's Degree in Computer Science, Understanding of SOA (Service Oriented Architecture), ASP.NET, SQL, XML, Design Patterns, Researching, Planning, Recommending Software and Systems Solutions, Skilled in Organizing Information, Partnership/Corporate Tax Experience, Reviewing Meeting Notes, Specifications, Interviewing Clients Architects and Developers"
https://www.linkedin.com/jobs/view/human-resources-generalist-at-sig-group-3774789412,Human Resources Generalist,SIG Group,United States,Merced,Mid senior,Onsite,"Employee relations, Employee selection, Policies and procedures, Training, Performance management, Microsoft Office, SAP, ADP, Time and attendance systems, PHR/SPHR, Labor laws, Regulations, Conflict resolution, Communication skills, Problemsolving skills, Teamwork skills, Leadership skills, Adaptability, Initiative, Motivation, Commitment, Integrity, Confidentiality"
https://au.linkedin.com/jobs/view/supervisor-horticulturist-at-green-options-landscape-management-3806558709,Supervisor - Horticulturist,Green Options Landscape Management,Australia,New South Wales,Mid senior,Onsite,"Horticulture, Manual driver's license, Communication skills, Customer service, Teamwork, Safe work practices, Performance reviews, Staff training, Toolbox meetings, Certificate III in Horticulture"
